parent_notice,ark_periodique,ark,numero,gallica_url,text_brut,ark,date
34348401,ark:/12148/cb34428386b/date,ark:/12148/bd6t5395250g,24 février 1934,https://gallica.bnf.fr/ark:/12148/bd6t5395250g,https://gallica.bnf.fr/ark:/12148/bd6t5395250g.texteBrut,ark:/12148/bd6t5395250g,1934-02-24
34348401,ark:/12148/cb34428386b/date,ark:/12148/bd6t5395251v,03 mars 1934,https://gallica.bnf.fr/ark:/12148/bd6t5395251v,https://gallica.bnf.fr/ark:/12148/bd6t5395251v.texteBrut,ark:/12148/bd6t5395251v,1934-03-03
34348401,ark:/12148/cb34428386b/date,ark:/12148/bd6t53952527,10 mars 1934,https://gallica.bnf.fr/ark:/12148/bd6t53952527,https://gallica.bnf.fr/ark:/12148/bd6t53952527.texteBrut,ark:/12148/bd6t53952527,1934-03-10
34348401,ark:/12148/cb34428386b/date,ark:/12148/bd6t5395253m,17 mars 1934,https://gallica.bnf.fr/ark:/12148/bd6t5395253m,https://gallica.bnf.fr/ark:/12148/bd6t5395253m.texteBrut,ark:/12148/bd6t5395253m,1934-03-17
34348401,ark:/12148/cb34428386b/date,ark:/12148/bd6t53952540,24 mars 1934,https://gallica.bnf.fr/ark:/12148/bd6t53952540,https://gallica.bnf.fr/ark:/12148/bd6t53952540.texteBrut,ark:/12148/bd6t53952540,1934-03-24
34348401,ark:/12148/cb32750072r/date,ark:/12148/bd6t541959962,05 janvier 1924,https://gallica.bnf.fr/ark:/12148/bd6t541959962,https://gallica.bnf.fr/ark:/12148/bd6t541959962.texteBrut,ark:/12148/bd6t541959962,1924-01-05
34348401,ark:/12148/cb32750072r/date,ark:/12148/bd6t542047109,12 janvier 1924,https://gallica.bnf.fr/ark:/12148/bd6t542047109,https://gallica.bnf.fr/ark:/12148/bd6t542047109.texteBrut,ark:/12148/bd6t542047109,1924-01-12
34348401,ark:/12148/cb32750072r/date,ark:/12148/bd6t54204711q,19 janvier 1924,https://gallica.bnf.fr/ark:/12148/bd6t54204711q,https://gallica.bnf.fr/ark:/12148/bd6t54204711q.texteBrut,ark:/12148/bd6t54204711q,1924-01-19
34348401,ark:/12148/cb32750072r/date,ark:/12148/bd6t54195997g,26 janvier 1924,https://gallica.bnf.fr/ark:/12148/bd6t54195997g,https://gallica.bnf.fr/ark:/12148/bd6t54195997g.texteBrut,ark:/12148/bd6t54195997g,1924-01-26
34348401,ark:/12148/cb32750072r/date,ark:/12148/bd6t542047124,02 février 1924,https://gallica.bnf.fr/ark:/12148/bd6t542047124,https://gallica.bnf.fr/ark:/12148/bd6t542047124.texteBrut,ark:/12148/bd6t542047124,1924-02-02
34348401,ark:/12148/cb32750072r/date,ark:/12148/bd6t54204713j,09 février 1924,https://gallica.bnf.fr/ark:/12148/bd6t54204713j,https://gallica.bnf.fr/ark:/12148/bd6t54204713j.texteBrut,ark:/12148/bd6t54204713j,1924-02-09
34348401,ark:/12148/cb32750072r/date,ark:/12148/bd6t54204714z,16 février 1924,https://gallica.bnf.fr/ark:/12148/bd6t54204714z,https://gallica.bnf.fr/ark:/12148/bd6t54204714z.texteBrut,ark:/12148/bd6t54204714z,1924-02-16
34348401,ark:/12148/cb32750072r/date,ark:/12148/bd6t54195998w,23 février 1924,https://gallica.bnf.fr/ark:/12148/bd6t54195998w,https://gallica.bnf.fr/ark:/12148/bd6t54195998w.texteBrut,ark:/12148/bd6t54195998w,1924-02-23
34348401,ark:/12148/cb32750072r/date,ark:/12148/bd6t541959999,01 mars 1924,https://gallica.bnf.fr/ark:/12148/bd6t541959999,https://gallica.bnf.fr/ark:/12148/bd6t541959999.texteBrut,ark:/12148/bd6t541959999,1924-03-01
34348401,ark:/12148/cb32750072r/date,ark:/12148/bd6t54196000c,08 mars 1924,https://gallica.bnf.fr/ark:/12148/bd6t54196000c,https://gallica.bnf.fr/ark:/12148/bd6t54196000c.texteBrut,ark:/12148/bd6t54196000c,1924-03-08
34348401,ark:/12148/cb32750072r/date,ark:/12148/bd6t54196001s,15 mars 1924,https://gallica.bnf.fr/ark:/12148/bd6t54196001s,https://gallica.bnf.fr/ark:/12148/bd6t54196001s.texteBrut,ark:/12148/bd6t54196001s,1924-03-15
34348401,ark:/12148/cb32750072r/date,ark:/12148/bd6t541960026,22 mars 1924,https://gallica.bnf.fr/ark:/12148/bd6t541960026,https://gallica.bnf.fr/ark:/12148/bd6t541960026.texteBrut,ark:/12148/bd6t541960026,1924-03-22
34348401,ark:/12148/cb32750072r/date,ark:/12148/bd6t54204715c,29 mars 1924,https://gallica.bnf.fr/ark:/12148/bd6t54204715c,https://gallica.bnf.fr/ark:/12148/bd6t54204715c.texteBrut,ark:/12148/bd6t54204715c,1924-03-29
